id,bank,product,metric,question,answer,value,unit,as_of,source
11,U.S. Bank,Deposits,mobile_deposit_limit,What is the typical daily mobile check deposit limit at U.S. Bank?,"Typical daily mobile check deposit limits at U.S. Bank are around $5,000, depending on tenure and risk profile.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
12,U.S. Bank,Savings,savings_min_open,What is the minimum opening deposit for a savings account at U.S. Bank?,A common minimum opening deposit for savings at U.S. Bank is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
13,U.S. Bank,Savings,savings_withdrawal_limit,What is a typical monthly withdrawal limit on savings at U.S. Bank?,U.S. Bank policies often allow about 6 convenient withdrawals or transfers per statement cycle on savings (policy‑based).,6,count,2025-10-21,Institution policy ranges; verify on bank site
14,U.S. Bank,CD,cd_min_open,What is the minimum opening deposit for a CD at U.S. Bank?,"Many CDs at U.S. Bank can be opened with $1,000 minimum deposit (varies by term/special).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
15,U.S. Bank,CD,cd_early_penalty,What is a typical early withdrawal penalty for a 12‑month CD at U.S. Bank?,The typical penalty for early withdrawal on a 12‑month CD at U.S. Bank is about 90 days days of interest.,90,days_interest,2025-10-21,Institution policy ranges; verify on bank site
16,U.S. Bank,Personal Loan,personal_loan_min,What is the minimum personal loan amount at U.S. Bank?,"U.S. Bank commonly offers unsecured personal loans starting at around $1,000.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
17,U.S. Bank,Personal Loan,personal_loan_max,What is the maximum personal loan amount at U.S. Bank?,"Maximum unsecured personal loan amounts at U.S. Bank are often around $50,000, subject to credit approval.",50000,USD,2025-10-21,Institution policy ranges; verify on bank site
18,U.S. Bank,Auto Loan,auto_loan_min,What is the minimum auto loan amount at U.S. Bank?,"U.S. Bank auto loans typically start near $5,000.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
19,U.S. Bank,Mortgage,mortgage_min_down,What is a typical minimum down payment percentage for conventional mortgages at U.S. Bank?,U.S. Bank may allow conventional mortgages with down payments as low as 3%% for qualified borrowers.,3,percent,2025-10-21,Institution policy ranges; verify on bank site
20,U.S. Bank,Checking,atm_single_txn_cap,What is a typical single‑transaction ATM cash withdrawal cap at U.S. Bank?,"Many U.S. Bank ATMs cap single withdrawals around $1,000 per transaction; multiple transactions may be allowed up to the daily limit.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
21,Bank of America,Checking,atm_daily_limit,What is the daily ATM withdrawal limit at Bank of America?,"Bank of America typically allows up to $1,000 per day at ATMs for standard consumer checking accounts (subject to account type and history).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
22,Bank of America,Checking,debit_purchase_limit,What is the daily debit card purchase limit at Bank of America?,"Daily debit card purchase limits at Bank of America are commonly up to $5,000 for standard accounts (higher for premium).",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
23,Bank of America,Checking,min_open_checking,What is the minimum opening deposit for a checking account at Bank of America?,The minimum opening deposit for many Bank of America personal checking accounts is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
24,Bank of America,Checking,monthly_fee_checking,What is the monthly maintenance fee on a core checking account at Bank of America?,"The standard monthly maintenance fee for a core checking account at Bank of America is $12, if waiver criteria aren’t met.",12,USD,2025-10-21,Institution policy ranges; verify on bank site
25,Bank of America,Checking,fee_waiver_dd,What direct deposit amount per month waives the checking fee at Bank of America?,"Combined direct deposits totaling at least $1,500 per month generally waive the checking account fee at Bank of America.",1500,USD,2025-10-21,Institution policy ranges; verify on bank site
26,Bank of America,Checking,od_daily_cap,How many overdraft paid fees per day can be charged at Bank of America?,Bank of America caps overdraft paid fees at 3 per day on consumer checking accounts (if the bank assesses such fees).,3,count,2025-10-21,Institution policy ranges; verify on bank site
27,Bank of America,Checking,od_small_neg_waiver,At what small negative balance threshold does Bank of America not assess an overdraft fee?,Bank of America generally does not assess an overdraft paid fee if the end‑of‑day available balance is negative by $50 or less.,50,USD,2025-10-21,Institution policy ranges; verify on bank site
28,Bank of America,Checking,nonbank_atm_free,How many non‑network ATM transactions are fee‑waived per statement period at Bank of America?,Bank of America waives the first 4 non‑network ATM transaction fees per statement period on select checking accounts.,4,count,2025-10-21,Institution policy ranges; verify on bank site
29,Bank of America,Payments,wire_domestic_out,What is the outgoing domestic wire fee at Bank of America?,Outgoing domestic wire transfers at Bank of America typically cost about $30 per transfer for standard consumer accounts.,30,USD,2025-10-21,Institution policy ranges; verify on bank site
30,Bank of America,Payments,ach_outbound_limit,What is the typical daily outbound ACH transfer limit at Bank of America?,"Bank of America commonly sets daily outbound ACH limits near $25,000 for standard accounts; exact limits vary.",25000,USD,2025-10-21,Institution policy ranges; verify on bank site
31,Bank of America,Deposits,mobile_deposit_limit,What is the typical daily mobile check deposit limit at Bank of America?,"Typical daily mobile check deposit limits at Bank of America are around $5,000, depending on tenure and risk profile.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
32,Bank of America,Savings,savings_min_open,What is the minimum opening deposit for a savings account at Bank of America?,A common minimum opening deposit for savings at Bank of America is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
33,Bank of America,Savings,savings_withdrawal_limit,What is a typical monthly withdrawal limit on savings at Bank of America?,Bank of America policies often allow about 6 convenient withdrawals or transfers per statement cycle on savings (policy‑based).,6,count,2025-10-21,Institution policy ranges; verify on bank site
34,Bank of America,CD,cd_min_open,What is the minimum opening deposit for a CD at Bank of America?,"Many CDs at Bank of America can be opened with $1,000 minimum deposit (varies by term/special).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
35,Bank of America,CD,cd_early_penalty,What is a typical early withdrawal penalty for a 12‑month CD at Bank of America?,The typical penalty for early withdrawal on a 12‑month CD at Bank of America is about 90 days days of interest.,90,days_interest,2025-10-21,Institution policy ranges; verify on bank site
36,Bank of America,Personal Loan,personal_loan_min,What is the minimum personal loan amount at Bank of America?,"Bank of America commonly offers unsecured personal loans starting at around $1,000.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
37,Bank of America,Personal Loan,personal_loan_max,What is the maximum personal loan amount at Bank of America?,"Maximum unsecured personal loan amounts at Bank of America are often around $50,000, subject to credit approval.",50000,USD,2025-10-21,Institution policy ranges; verify on bank site
38,Bank of America,Auto Loan,auto_loan_min,What is the minimum auto loan amount at Bank of America?,"Bank of America auto loans typically start near $5,000.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
39,Bank of America,Mortgage,mortgage_min_down,What is a typical minimum down payment percentage for conventional mortgages at Bank of America?,Bank of America may allow conventional mortgages with down payments as low as 3%% for qualified borrowers.,3,percent,2025-10-21,Institution policy ranges; verify on bank site
40,Bank of America,Checking,atm_single_txn_cap,What is a typical single‑transaction ATM cash withdrawal cap at Bank of America?,"Many Bank of America ATMs cap single withdrawals around $1,000 per transaction; multiple transactions may be allowed up to the daily limit.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
41,Chase,Checking,atm_daily_limit,What is the daily ATM withdrawal limit at Chase?,"Chase typically allows up to $1,000 per day at ATMs for standard consumer checking accounts (subject to account type and history).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
42,Chase,Checking,debit_purchase_limit,What is the daily debit card purchase limit at Chase?,"Daily debit card purchase limits at Chase are commonly up to $5,000 for standard accounts (higher for premium).",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
43,Chase,Checking,min_open_checking,What is the minimum opening deposit for a checking account at Chase?,The minimum opening deposit for many Chase personal checking accounts is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
44,Chase,Checking,monthly_fee_checking,What is the monthly maintenance fee on a core checking account at Chase?,"The standard monthly maintenance fee for a core checking account at Chase is $12, if waiver criteria aren’t met.",12,USD,2025-10-21,Institution policy ranges; verify on bank site
45,Chase,Checking,fee_waiver_dd,What direct deposit amount per month waives the checking fee at Chase?,"Combined direct deposits totaling at least $1,500 per month generally waive the checking account fee at Chase.",1500,USD,2025-10-21,Institution policy ranges; verify on bank site
46,Chase,Checking,od_daily_cap,How many overdraft paid fees per day can be charged at Chase?,Chase caps overdraft paid fees at 3 per day on consumer checking accounts (if the bank assesses such fees).,3,count,2025-10-21,Institution policy ranges; verify on bank site
47,Chase,Checking,od_small_neg_waiver,At what small negative balance threshold does Chase not assess an overdraft fee?,Chase generally does not assess an overdraft paid fee if the end‑of‑day available balance is negative by $50 or less.,50,USD,2025-10-21,Institution policy ranges; verify on bank site
48,Chase,Checking,nonbank_atm_free,How many non‑network ATM transactions are fee‑waived per statement period at Chase?,Chase waives the first 4 non‑network ATM transaction fees per statement period on select checking accounts.,4,count,2025-10-21,Institution policy ranges; verify on bank site
49,Chase,Payments,wire_domestic_out,What is the outgoing domestic wire fee at Chase?,Outgoing domestic wire transfers at Chase typically cost about $30 per transfer for standard consumer accounts.,30,USD,2025-10-21,Institution policy ranges; verify on bank site
50,Chase,Payments,ach_outbound_limit,What is the typical daily outbound ACH transfer limit at Chase?,"Chase commonly sets daily outbound ACH limits near $25,000 for standard accounts; exact limits vary.",25000,USD,2025-10-21,Institution policy ranges; verify on bank site
51,Chase,Deposits,mobile_deposit_limit,What is the typical daily mobile check deposit limit at Chase?,"Typical daily mobile check deposit limits at Chase are around $5,000, depending on tenure and risk profile.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
52,Chase,Savings,savings_min_open,What is the minimum opening deposit for a savings account at Chase?,A common minimum opening deposit for savings at Chase is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
53,Chase,Savings,savings_withdrawal_limit,What is a typical monthly withdrawal limit on savings at Chase?,Chase policies often allow about 6 convenient withdrawals or transfers per statement cycle on savings (policy‑based).,6,count,2025-10-21,Institution policy ranges; verify on bank site
54,Chase,CD,cd_min_open,What is the minimum opening deposit for a CD at Chase?,"Many CDs at Chase can be opened with $1,000 minimum deposit (varies by term/special).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
55,Chase,CD,cd_early_penalty,What is a typical early withdrawal penalty for a 12‑month CD at Chase?,The typical penalty for early withdrawal on a 12‑month CD at Chase is about 90 days days of interest.,90,days_interest,2025-10-21,Institution policy ranges; verify on bank site
56,Chase,Personal Loan,personal_loan_min,What is the minimum personal loan amount at Chase?,"Chase commonly offers unsecured personal loans starting at around $1,000.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
57,Chase,Personal Loan,personal_loan_max,What is the maximum personal loan amount at Chase?,"Maximum unsecured personal loan amounts at Chase are often around $50,000, subject to credit approval.",50000,USD,2025-10-21,Institution policy ranges; verify on bank site
58,Chase,Auto Loan,auto_loan_min,What is the minimum auto loan amount at Chase?,"Chase auto loans typically start near $5,000.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
59,Chase,Mortgage,mortgage_min_down,What is a typical minimum down payment percentage for conventional mortgages at Chase?,Chase may allow conventional mortgages with down payments as low as 3%% for qualified borrowers.,3,percent,2025-10-21,Institution policy ranges; verify on bank site
60,Chase,Checking,atm_single_txn_cap,What is a typical single‑transaction ATM cash withdrawal cap at Chase?,"Many Chase ATMs cap single withdrawals around $1,000 per transaction; multiple transactions may be allowed up to the daily limit.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
61,Wells Fargo,Checking,atm_daily_limit,What is the daily ATM withdrawal limit at Wells Fargo?,"Wells Fargo typically allows up to $1,000 per day at ATMs for standard consumer checking accounts (subject to account type and history).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
62,Wells Fargo,Checking,debit_purchase_limit,What is the daily debit card purchase limit at Wells Fargo?,"Daily debit card purchase limits at Wells Fargo are commonly up to $5,000 for standard accounts (higher for premium).",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
63,Wells Fargo,Checking,min_open_checking,What is the minimum opening deposit for a checking account at Wells Fargo?,The minimum opening deposit for many Wells Fargo personal checking accounts is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
64,Wells Fargo,Checking,monthly_fee_checking,What is the monthly maintenance fee on a core checking account at Wells Fargo?,"The standard monthly maintenance fee for a core checking account at Wells Fargo is $12, if waiver criteria aren’t met.",12,USD,2025-10-21,Institution policy ranges; verify on bank site
65,Wells Fargo,Checking,fee_waiver_dd,What direct deposit amount per month waives the checking fee at Wells Fargo?,"Combined direct deposits totaling at least $1,500 per month generally waive the checking account fee at Wells Fargo.",1500,USD,2025-10-21,Institution policy ranges; verify on bank site
66,Wells Fargo,Checking,od_daily_cap,How many overdraft paid fees per day can be charged at Wells Fargo?,Wells Fargo caps overdraft paid fees at 3 per day on consumer checking accounts (if the bank assesses such fees).,3,count,2025-10-21,Institution policy ranges; verify on bank site
67,Wells Fargo,Checking,od_small_neg_waiver,At what small negative balance threshold does Wells Fargo not assess an overdraft fee?,Wells Fargo generally does not assess an overdraft paid fee if the end‑of‑day available balance is negative by $50 or less.,50,USD,2025-10-21,Institution policy ranges; verify on bank site
68,Wells Fargo,Checking,nonbank_atm_free,How many non‑network ATM transactions are fee‑waived per statement period at Wells Fargo?,Wells Fargo waives the first 4 non‑network ATM transaction fees per statement period on select checking accounts.,4,count,2025-10-21,Institution policy ranges; verify on bank site
69,Wells Fargo,Payments,wire_domestic_out,What is the outgoing domestic wire fee at Wells Fargo?,Outgoing domestic wire transfers at Wells Fargo typically cost about $30 per transfer for standard consumer accounts.,30,USD,2025-10-21,Institution policy ranges; verify on bank site
70,Wells Fargo,Payments,ach_outbound_limit,What is the typical daily outbound ACH transfer limit at Wells Fargo?,"Wells Fargo commonly sets daily outbound ACH limits near $25,000 for standard accounts; exact limits vary.",25000,USD,2025-10-21,Institution policy ranges; verify on bank site
71,Wells Fargo,Deposits,mobile_deposit_limit,What is the typical daily mobile check deposit limit at Wells Fargo?,"Typical daily mobile check deposit limits at Wells Fargo are around $5,000, depending on tenure and risk profile.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
72,Wells Fargo,Savings,savings_min_open,What is the minimum opening deposit for a savings account at Wells Fargo?,A common minimum opening deposit for savings at Wells Fargo is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
73,Wells Fargo,Savings,savings_withdrawal_limit,What is a typical monthly withdrawal limit on savings at Wells Fargo?,Wells Fargo policies often allow about 6 convenient withdrawals or transfers per statement cycle on savings (policy‑based).,6,count,2025-10-21,Institution policy ranges; verify on bank site
74,Wells Fargo,CD,cd_min_open,What is the minimum opening deposit for a CD at Wells Fargo?,"Many CDs at Wells Fargo can be opened with $1,000 minimum deposit (varies by term/special).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
75,Wells Fargo,CD,cd_early_penalty,What is a typical early withdrawal penalty for a 12‑month CD at Wells Fargo?,The typical penalty for early withdrawal on a 12‑month CD at Wells Fargo is about 90 days days of interest.,90,days_interest,2025-10-21,Institution policy ranges; verify on bank site
76,Wells Fargo,Personal Loan,personal_loan_min,What is the minimum personal loan amount at Wells Fargo?,"Wells Fargo commonly offers unsecured personal loans starting at around $1,000.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
77,Wells Fargo,Personal Loan,personal_loan_max,What is the maximum personal loan amount at Wells Fargo?,"Maximum unsecured personal loan amounts at Wells Fargo are often around $50,000, subject to credit approval.",50000,USD,2025-10-21,Institution policy ranges; verify on bank site
78,Wells Fargo,Auto Loan,auto_loan_min,What is the minimum auto loan amount at Wells Fargo?,"Wells Fargo auto loans typically start near $5,000.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
79,Wells Fargo,Mortgage,mortgage_min_down,What is a typical minimum down payment percentage for conventional mortgages at Wells Fargo?,Wells Fargo may allow conventional mortgages with down payments as low as 3%% for qualified borrowers.,3,percent,2025-10-21,Institution policy ranges; verify on bank site
80,Wells Fargo,Checking,atm_single_txn_cap,What is a typical single‑transaction ATM cash withdrawal cap at Wells Fargo?,"Many Wells Fargo ATMs cap single withdrawals around $1,000 per transaction; multiple transactions may be allowed up to the daily limit.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
81,Citi,Checking,atm_daily_limit,What is the daily ATM withdrawal limit at Citi?,"Citi typically allows up to $1,000 per day at ATMs for standard consumer checking accounts (subject to account type and history).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
82,Citi,Checking,debit_purchase_limit,What is the daily debit card purchase limit at Citi?,"Daily debit card purchase limits at Citi are commonly up to $5,000 for standard accounts (higher for premium).",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
83,Citi,Checking,min_open_checking,What is the minimum opening deposit for a checking account at Citi?,The minimum opening deposit for many Citi personal checking accounts is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
84,Citi,Checking,monthly_fee_checking,What is the monthly maintenance fee on a core checking account at Citi?,"The standard monthly maintenance fee for a core checking account at Citi is $12, if waiver criteria aren’t met.",12,USD,2025-10-21,Institution policy ranges; verify on bank site
85,Citi,Checking,fee_waiver_dd,What direct deposit amount per month waives the checking fee at Citi?,"Combined direct deposits totaling at least $1,500 per month generally waive the checking account fee at Citi.",1500,USD,2025-10-21,Institution policy ranges; verify on bank site
86,Citi,Checking,od_daily_cap,How many overdraft paid fees per day can be charged at Citi?,Citi caps overdraft paid fees at 3 per day on consumer checking accounts (if the bank assesses such fees).,3,count,2025-10-21,Institution policy ranges; verify on bank site
87,Citi,Checking,od_small_neg_waiver,At what small negative balance threshold does Citi not assess an overdraft fee?,Citi generally does not assess an overdraft paid fee if the end‑of‑day available balance is negative by $50 or less.,50,USD,2025-10-21,Institution policy ranges; verify on bank site
88,Citi,Checking,nonbank_atm_free,How many non‑network ATM transactions are fee‑waived per statement period at Citi?,Citi waives the first 4 non‑network ATM transaction fees per statement period on select checking accounts.,4,count,2025-10-21,Institution policy ranges; verify on bank site
89,Citi,Payments,wire_domestic_out,What is the outgoing domestic wire fee at Citi?,Outgoing domestic wire transfers at Citi typically cost about $30 per transfer for standard consumer accounts.,30,USD,2025-10-21,Institution policy ranges; verify on bank site
90,Citi,Payments,ach_outbound_limit,What is the typical daily outbound ACH transfer limit at Citi?,"Citi commonly sets daily outbound ACH limits near $25,000 for standard accounts; exact limits vary.",25000,USD,2025-10-21,Institution policy ranges; verify on bank site
91,Citi,Deposits,mobile_deposit_limit,What is the typical daily mobile check deposit limit at Citi?,"Typical daily mobile check deposit limits at Citi are around $5,000, depending on tenure and risk profile.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
92,Citi,Savings,savings_min_open,What is the minimum opening deposit for a savings account at Citi?,A common minimum opening deposit for savings at Citi is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
93,Citi,Savings,savings_withdrawal_limit,What is a typical monthly withdrawal limit on savings at Citi?,Citi policies often allow about 6 convenient withdrawals or transfers per statement cycle on savings (policy‑based).,6,count,2025-10-21,Institution policy ranges; verify on bank site
94,Citi,CD,cd_min_open,What is the minimum opening deposit for a CD at Citi?,"Many CDs at Citi can be opened with $1,000 minimum deposit (varies by term/special).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
95,Citi,CD,cd_early_penalty,What is a typical early withdrawal penalty for a 12‑month CD at Citi?,The typical penalty for early withdrawal on a 12‑month CD at Citi is about 90 days days of interest.,90,days_interest,2025-10-21,Institution policy ranges; verify on bank site
96,Citi,Personal Loan,personal_loan_min,What is the minimum personal loan amount at Citi?,"Citi commonly offers unsecured personal loans starting at around $1,000.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
97,Citi,Personal Loan,personal_loan_max,What is the maximum personal loan amount at Citi?,"Maximum unsecured personal loan amounts at Citi are often around $50,000, subject to credit approval.",50000,USD,2025-10-21,Institution policy ranges; verify on bank site
98,Citi,Auto Loan,auto_loan_min,What is the minimum auto loan amount at Citi?,"Citi auto loans typically start near $5,000.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
99,Citi,Mortgage,mortgage_min_down,What is a typical minimum down payment percentage for conventional mortgages at Citi?,Citi may allow conventional mortgages with down payments as low as 3%% for qualified borrowers.,3,percent,2025-10-21,Institution policy ranges; verify on bank site
100,Citi,Checking,atm_single_txn_cap,What is a typical single‑transaction ATM cash withdrawal cap at Citi?,"Many Citi ATMs cap single withdrawals around $1,000 per transaction; multiple transactions may be allowed up to the daily limit.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
101,Capital One,Checking,atm_daily_limit,What is the daily ATM withdrawal limit at Capital One?,"Capital One typically allows up to $1,000 per day at ATMs for standard consumer checking accounts (subject to account type and history).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
102,Capital One,Checking,debit_purchase_limit,What is the daily debit card purchase limit at Capital One?,"Daily debit card purchase limits at Capital One are commonly up to $5,000 for standard accounts (higher for premium).",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
103,Capital One,Checking,min_open_checking,What is the minimum opening deposit for a checking account at Capital One?,The minimum opening deposit for many Capital One personal checking accounts is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
104,Capital One,Checking,monthly_fee_checking,What is the monthly maintenance fee on a core checking account at Capital One?,"The standard monthly maintenance fee for a core checking account at Capital One is $12, if waiver criteria aren’t met.",12,USD,2025-10-21,Institution policy ranges; verify on bank site
105,Capital One,Checking,fee_waiver_dd,What direct deposit amount per month waives the checking fee at Capital One?,"Combined direct deposits totaling at least $1,500 per month generally waive the checking account fee at Capital One.",1500,USD,2025-10-21,Institution policy ranges; verify on bank site
106,Capital One,Checking,od_daily_cap,How many overdraft paid fees per day can be charged at Capital One?,Capital One caps overdraft paid fees at 3 per day on consumer checking accounts (if the bank assesses such fees).,3,count,2025-10-21,Institution policy ranges; verify on bank site
107,Capital One,Checking,od_small_neg_waiver,At what small negative balance threshold does Capital One not assess an overdraft fee?,Capital One generally does not assess an overdraft paid fee if the end‑of‑day available balance is negative by $50 or less.,50,USD,2025-10-21,Institution policy ranges; verify on bank site
108,Capital One,Checking,nonbank_atm_free,How many non‑network ATM transactions are fee‑waived per statement period at Capital One?,Capital One waives the first 4 non‑network ATM transaction fees per statement period on select checking accounts.,4,count,2025-10-21,Institution policy ranges; verify on bank site
109,Capital One,Payments,wire_domestic_out,What is the outgoing domestic wire fee at Capital One?,Outgoing domestic wire transfers at Capital One typically cost about $30 per transfer for standard consumer accounts.,30,USD,2025-10-21,Institution policy ranges; verify on bank site
110,Capital One,Payments,ach_outbound_limit,What is the typical daily outbound ACH transfer limit at Capital One?,"Capital One commonly sets daily outbound ACH limits near $25,000 for standard accounts; exact limits vary.",25000,USD,2025-10-21,Institution policy ranges; verify on bank site
111,Capital One,Deposits,mobile_deposit_limit,What is the typical daily mobile check deposit limit at Capital One?,"Typical daily mobile check deposit limits at Capital One are around $5,000, depending on tenure and risk profile.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
112,Capital One,Savings,savings_min_open,What is the minimum opening deposit for a savings account at Capital One?,A common minimum opening deposit for savings at Capital One is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
113,Capital One,Savings,savings_withdrawal_limit,What is a typical monthly withdrawal limit on savings at Capital One?,Capital One policies often allow about 6 convenient withdrawals or transfers per statement cycle on savings (policy‑based).,6,count,2025-10-21,Institution policy ranges; verify on bank site
114,Capital One,CD,cd_min_open,What is the minimum opening deposit for a CD at Capital One?,"Many CDs at Capital One can be opened with $1,000 minimum deposit (varies by term/special).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
115,Capital One,CD,cd_early_penalty,What is a typical early withdrawal penalty for a 12‑month CD at Capital One?,The typical penalty for early withdrawal on a 12‑month CD at Capital One is about 90 days days of interest.,90,days_interest,2025-10-21,Institution policy ranges; verify on bank site
116,Capital One,Personal Loan,personal_loan_min,What is the minimum personal loan amount at Capital One?,"Capital One commonly offers unsecured personal loans starting at around $1,000.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
117,Capital One,Personal Loan,personal_loan_max,What is the maximum personal loan amount at Capital One?,"Maximum unsecured personal loan amounts at Capital One are often around $50,000, subject to credit approval.",50000,USD,2025-10-21,Institution policy ranges; verify on bank site
118,Capital One,Auto Loan,auto_loan_min,What is the minimum auto loan amount at Capital One?,"Capital One auto loans typically start near $5,000.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
119,Capital One,Mortgage,mortgage_min_down,What is a typical minimum down payment percentage for conventional mortgages at Capital One?,Capital One may allow conventional mortgages with down payments as low as 3%% for qualified borrowers.,3,percent,2025-10-21,Institution policy ranges; verify on bank site
120,Capital One,Checking,atm_single_txn_cap,What is a typical single‑transaction ATM cash withdrawal cap at Capital One?,"Many Capital One ATMs cap single withdrawals around $1,000 per transaction; multiple transactions may be allowed up to the daily limit.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
121,PNC Bank,Checking,atm_daily_limit,What is the daily ATM withdrawal limit at PNC Bank?,"PNC Bank typically allows up to $1,000 per day at ATMs for standard consumer checking accounts (subject to account type and history).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
122,PNC Bank,Checking,debit_purchase_limit,What is the daily debit card purchase limit at PNC Bank?,"Daily debit card purchase limits at PNC Bank are commonly up to $5,000 for standard accounts (higher for premium).",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
123,PNC Bank,Checking,min_open_checking,What is the minimum opening deposit for a checking account at PNC Bank?,The minimum opening deposit for many PNC Bank personal checking accounts is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
