id,category,subcategory,question,answer,difficulty,tags
126,Digital Banking,Online & Mobile,How do I avoid monthly fees?,"Meet waiver conditions such as minimum balance, direct deposits, or activity thresholds as specified by your bank.",basic,
127,Digital Banking,Alerts & Controls,How fast are transfers?,ACH typically 1–3 business days; wires same-day domestic; instant networks post within seconds when available.,basic,
128,Digital Banking,Statements & Records,How do I set up direct deposit?,"Provide your employer the bank routing number, your account number, and account type.",basic,
129,International,FX & SWIFT,What is a routing number?,A nine-digit identifier used in the U.S. to route ACH and wire transfers to your bank.,basic,
130,International,Travel & Overseas Use,What is an account number?,Your unique identifier at the bank that directs deposits and withdrawals to your specific account.,basic,
131,International,Remittances,How can I increase account security?,"Enable 2FA, use strong unique passwords, set alerts, and keep contact info current.",basic,
132,Business Banking,Business Accounts,How do I freeze my credit?,Request a freeze at each bureau; it restricts new credit checks until you lift it.,basic,
133,Business Banking,Treasury & Cash Mgmt,What is overdraft protection?,A service linking accounts or a credit line to cover shortfalls and reduce declined transactions.,basic,
134,Business Banking,Commercial Lending,How do I stop a payment?,Submit a stop payment order before the item posts; fees and time limits apply.,basic,
135,Credit & Reports,Credit Scores,What if I see an unauthorized charge?,Report it immediately; banks must investigate and may issue provisional credit during review.,basic,
136,Credit & Reports,Reports & Disputes,How do I avoid monthly fees?,"Meet waiver conditions such as minimum balance, direct deposits, or activity thresholds as specified by your bank.",basic,
137,Credit & Reports,Utilization & Limits,How fast are transfers?,ACH typically 1–3 business days; wires same-day domestic; instant networks post within seconds when available.,basic,
138,Regulatory & Legal (General),Coverage & Insurance,How do I set up direct deposit?,"Provide your employer the bank routing number, your account number, and account type.",basic,
139,Regulatory & Legal (General),Disclosures & Rights,What is a routing number?,A nine-digit identifier used in the U.S. to route ACH and wire transfers to your bank.,basic,
140,Regulatory & Legal (General),Privacy & Data,What is an account number?,Your unique identifier at the bank that directs deposits and withdrawals to your specific account.,basic,
141,Accounts,Checking Accounts,How can I increase account security?,"Enable 2FA, use strong unique passwords, set alerts, and keep contact info current.",basic,
142,Accounts,Savings Accounts,How do I freeze my credit?,Request a freeze at each bureau; it restricts new credit checks until you lift it.,basic,
143,Accounts,Certificates of Deposit (CDs),What is overdraft protection?,A service linking accounts or a credit line to cover shortfalls and reduce declined transactions.,basic,
144,Accounts,Money Market Accounts,How do I stop a payment?,Submit a stop payment order before the item posts; fees and time limits apply.,basic,
145,Payments & Transfers,ACH & Wires,What if I see an unauthorized charge?,Report it immediately; banks must investigate and may issue provisional credit during review.,basic,
146,Payments & Transfers,Zelle/Real-time,How do I avoid monthly fees?,"Meet waiver conditions such as minimum balance, direct deposits, or activity thresholds as specified by your bank.",basic,
147,Payments & Transfers,Checks,How fast are transfers?,ACH typically 1–3 business days; wires same-day domestic; instant networks post within seconds when available.,basic,
148,Cards,Debit Cards,How do I set up direct deposit?,"Provide your employer the bank routing number, your account number, and account type.",basic,
149,Cards,Credit Cards,What is a routing number?,A nine-digit identifier used in the U.S. to route ACH and wire transfers to your bank.,basic,
150,Cards,Prepaid & Secured,What is an account number?,Your unique identifier at the bank that directs deposits and withdrawals to your specific account.,basic,
151,Loans,Personal Loans,How can I increase account security?,"Enable 2FA, use strong unique passwords, set alerts, and keep contact info current.",basic,
152,Loans,Auto Loans,How do I freeze my credit?,Request a freeze at each bureau; it restricts new credit checks until you lift it.,basic,
153,Loans,Mortgages,What is overdraft protection?,A service linking accounts or a credit line to cover shortfalls and reduce declined transactions.,basic,
154,Loans,Student Loans,How do I stop a payment?,Submit a stop payment order before the item posts; fees and time limits apply.,basic,
155,Fees & Policies,Fees,What if I see an unauthorized charge?,Report it immediately; banks must investigate and may issue provisional credit during review.,basic,
156,Fees & Policies,Availability & Holds,How do I avoid monthly fees?,"Meet waiver conditions such as minimum balance, direct deposits, or activity thresholds as specified by your bank.",basic,
157,Fees & Policies,Account Policies,How fast are transfers?,ACH typically 1–3 business days; wires same-day domestic; instant networks post within seconds when available.,basic,
158,Security & Compliance,KYC/AML,How do I set up direct deposit?,"Provide your employer the bank routing number, your account number, and account type.",basic,
159,Security & Compliance,Authentication,What is a routing number?,A nine-digit identifier used in the U.S. to route ACH and wire transfers to your bank.,basic,
160,Security & Compliance,Fraud & Disputes,What is an account number?,Your unique identifier at the bank that directs deposits and withdrawals to your specific account.,basic,
161,Digital Banking,Online & Mobile,How can I increase account security?,"Enable 2FA, use strong unique passwords, set alerts, and keep contact info current.",basic,
162,Digital Banking,Alerts & Controls,How do I freeze my credit?,Request a freeze at each bureau; it restricts new credit checks until you lift it.,basic,
163,Digital Banking,Statements & Records,What is overdraft protection?,A service linking accounts or a credit line to cover shortfalls and reduce declined transactions.,basic,
164,International,FX & SWIFT,How do I stop a payment?,Submit a stop payment order before the item posts; fees and time limits apply.,basic,
165,International,Travel & Overseas Use,What if I see an unauthorized charge?,Report it immediately; banks must investigate and may issue provisional credit during review.,basic,
166,International,Remittances,How do I avoid monthly fees?,"Meet waiver conditions such as minimum balance, direct deposits, or activity thresholds as specified by your bank.",basic,
167,Business Banking,Business Accounts,How fast are transfers?,ACH typically 1–3 business days; wires same-day domestic; instant networks post within seconds when available.,basic,
168,Business Banking,Treasury & Cash Mgmt,How do I set up direct deposit?,"Provide your employer the bank routing number, your account number, and account type.",basic,
169,Business Banking,Commercial Lending,What is a routing number?,A nine-digit identifier used in the U.S. to route ACH and wire transfers to your bank.,basic,
170,Credit & Reports,Credit Scores,What is an account number?,Your unique identifier at the bank that directs deposits and withdrawals to your specific account.,basic,
171,Credit & Reports,Reports & Disputes,How can I increase account security?,"Enable 2FA, use strong unique passwords, set alerts, and keep contact info current.",basic,
172,Credit & Reports,Utilization & Limits,How do I freeze my credit?,Request a freeze at each bureau; it restricts new credit checks until you lift it.,basic,
173,Regulatory & Legal (General),Coverage & Insurance,What is overdraft protection?,A service linking accounts or a credit line to cover shortfalls and reduce declined transactions.,basic,
174,Regulatory & Legal (General),Disclosures & Rights,How do I stop a payment?,Submit a stop payment order before the item posts; fees and time limits apply.,basic,
175,Regulatory & Legal (General),Privacy & Data,What if I see an unauthorized charge?,Report it immediately; banks must investigate and may issue provisional credit during review.,basic,
176,Accounts,Checking Accounts,How do I avoid monthly fees?,"Meet waiver conditions such as minimum balance, direct deposits, or activity thresholds as specified by your bank.",basic,
177,Accounts,Savings Accounts,How fast are transfers?,ACH typically 1–3 business days; wires same-day domestic; instant networks post within seconds when available.,basic,
178,Accounts,Certificates of Deposit (CDs),How do I set up direct deposit?,"Provide your employer the bank routing number, your account number, and account type.",basic,
179,Accounts,Money Market Accounts,What is a routing number?,A nine-digit identifier used in the U.S. to route ACH and wire transfers to your bank.,basic,
180,Payments & Transfers,ACH & Wires,What is an account number?,Your unique identifier at the bank that directs deposits and withdrawals to your specific account.,basic,
181,Payments & Transfers,Zelle/Real-time,How can I increase account security?,"Enable 2FA, use strong unique passwords, set alerts, and keep contact info current.",basic,
182,Payments & Transfers,Checks,How do I freeze my credit?,Request a freeze at each bureau; it restricts new credit checks until you lift it.,basic,
183,Cards,Debit Cards,What is overdraft protection?,A service linking accounts or a credit line to cover shortfalls and reduce declined transactions.,basic,
184,Cards,Credit Cards,How do I stop a payment?,Submit a stop payment order before the item posts; fees and time limits apply.,basic,
185,Cards,Prepaid & Secured,What if I see an unauthorized charge?,Report it immediately; banks must investigate and may issue provisional credit during review.,basic,
186,Loans,Personal Loans,How do I avoid monthly fees?,"Meet waiver conditions such as minimum balance, direct deposits, or activity thresholds as specified by your bank.",basic,
187,Loans,Auto Loans,How fast are transfers?,ACH typically 1–3 business days; wires same-day domestic; instant networks post within seconds when available.,basic,
188,Loans,Mortgages,How do I set up direct deposit?,"Provide your employer the bank routing number, your account number, and account type.",basic,
189,Loans,Student Loans,What is a routing number?,A nine-digit identifier used in the U.S. to route ACH and wire transfers to your bank.,basic,
190,Fees & Policies,Fees,What is an account number?,Your unique identifier at the bank that directs deposits and withdrawals to your specific account.,basic,
191,Fees & Policies,Availability & Holds,How can I increase account security?,"Enable 2FA, use strong unique passwords, set alerts, and keep contact info current.",basic,
192,Fees & Policies,Account Policies,How do I freeze my credit?,Request a freeze at each bureau; it restricts new credit checks until you lift it.,basic,
193,Security & Compliance,KYC/AML,What is overdraft protection?,A service linking accounts or a credit line to cover shortfalls and reduce declined transactions.,basic,
194,Security & Compliance,Authentication,How do I stop a payment?,Submit a stop payment order before the item posts; fees and time limits apply.,basic,
195,Security & Compliance,Fraud & Disputes,What if I see an unauthorized charge?,Report it immediately; banks must investigate and may issue provisional credit during review.,basic,
196,Digital Banking,Online & Mobile,How do I avoid monthly fees?,"Meet waiver conditions such as minimum balance, direct deposits, or activity thresholds as specified by your bank.",basic,
197,Digital Banking,Alerts & Controls,How fast are transfers?,ACH typically 1–3 business days; wires same-day domestic; instant networks post within seconds when available.,basic,
198,Digital Banking,Statements & Records,How do I set up direct deposit?,"Provide your employer the bank routing number, your account number, and account type.",basic,
199,International,FX & SWIFT,What is a routing number?,A nine-digit identifier used in the U.S. to route ACH and wire transfers to your bank.,basic,
200,International,Travel & Overseas Use,What is an account number?,Your unique identifier at the bank that directs deposits and withdrawals to your specific account.,basic,
201,International,Remittances,How can I increase account security?,"Enable 2FA, use strong unique passwords, set alerts, and keep contact info current.",basic,
202,Business Banking,Business Accounts,How do I freeze my credit?,Request a freeze at each bureau; it restricts new credit checks until you lift it.,basic,
203,Business Banking,Treasury & Cash Mgmt,What is overdraft protection?,A service linking accounts or a credit line to cover shortfalls and reduce declined transactions.,basic,
204,Business Banking,Commercial Lending,How do I stop a payment?,Submit a stop payment order before the item posts; fees and time limits apply.,basic,
205,Credit & Reports,Credit Scores,What if I see an unauthorized charge?,Report it immediately; banks must investigate and may issue provisional credit during review.,basic,
206,Accounts,Checking Accounts,Do checking accounts pay interest?,"Some do, but rates are typically lower than savings; check your bank’s APY.",basic,
207,Accounts,Savings Accounts,Is there a limit on savings withdrawals?,Historically savings had withdrawal limits; banks may still impose limits via policy even if not required by law.,basic,
208,Payments & Transfers,ACH & Wires,Can I reverse an ACH?,ACH entries can be returned or reversed in limited cases; timing and reason codes apply.,basic,
209,Payments & Transfers,Zelle/Real-time,Do instant transfers have limits?,"Yes, banks set daily and monthly limits based on risk and account type.",basic,
210,Payments & Transfers,Checks,When do mobile deposits clear?,Availability follows the bank’s funds policy; some amounts may be held until collection.,basic,
211,Cards,Credit Cards,What is a statement closing date?,The date your billing cycle ends; purchases after this date appear on the next statement.,basic,
212,Cards,Debit Cards,Can I use debit card offline?,Some terminals support offline PIN or signature; transactions may post later.,basic,
213,Loans,Mortgages,What is escrow?,A portion of the monthly payment set aside for property taxes and insurance.,basic,
214,Loans,Personal Loans,What is a prepayment penalty?,A fee some lenders charge if you pay off a loan early; many personal loans have no penalty.,basic,
215,Loans,Student Loans,Do student loans affect credit?,Yes; payment history and balances can impact your credit profile.,basic,
216,Fees & Policies,Fees,What is an ATM surcharge?,"A fee charged by the ATM owner for using their machine, on top of bank fees.",basic,
217,Fees & Policies,Availability & Holds,What is a large deposit hold?,Extra hold time applied to deposits above a threshold to manage clearing risk.,basic,
218,Security & Compliance,Fraud & Disputes,What is friendly fraud?,A dispute where the cardholder authorized the purchase but later claims it was unauthorized.,basic,
219,Digital Banking,Online & Mobile,What is an MFA push prompt?,A mobile notification asking you to approve a login attempt for stronger security.,basic,
220,International,FX & SWIFT,What is correspondent banking?,An arrangement where banks use intermediary banks to move cross-border funds.,basic,
221,Business Banking,Treasury & Cash Mgmt,What is ACH positive pay?,Filters ACH debits to only allow authorized company IDs or amounts.,basic,
222,Credit & Reports,Reports & Disputes,What is a dispute investigation timeline?,Bureaus typically have 30–45 days to investigate and respond.,basic,
223,Regulatory & Legal (General),Disclosures & Rights,What is adverse action notice?,"A notice explaining why credit was denied or terms changed, citing key reasons.",basic,
224,Mixed Scenarios,Customer Situations,I sent a wire to the wrong account. What can I do?,Contact your bank immediately to request a recall; recovery depends on recipient bank cooperation and timing.,basic,
225,Mixed Scenarios,Customer Situations,My paycheck is missing via direct deposit. What steps should I take?,"Verify deposit date with your employer, confirm routing and account numbers, and ask your bank to trace the ACH.",basic,
226,Mixed Scenarios,Customer Situations,My card was skimmed at an ATM. What now?,"Report fraud, lock the card, and request a new card; review statements and update your PIN.",basic,
227,Mixed Scenarios,Customer Situations,A check I deposited bounced. Why?,"The payer’s bank rejected it due to insufficient funds, stop payment, or other return reasons.",basic,
